Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,County
2/11/2020,48,Ozone,Redlands,06-071-4003,AirNow,48,38,San Bernardino
2/12/2020,65,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,48,65,San Bernardino
2/13/2020,72,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,47,72,San Bernardino
2/14/2020,77,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,54,77,San Bernardino
2/15/2020,79,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,64,79,San Bernardino
2/16/2020,105,Ozone,Redlands,06-071-4003,AirNow,105,85,San Bernardino
2/17/2020,98,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,71,98,San Bernardino
2/18/2020,85,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,44,85,San Bernardino
2/19/2020,89,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,54,89,San Bernardino
2/20/2020,70,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,54,70,San Bernardino
2/21/2020,55,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,51,55,San Bernardino
2/22/2020,45,PM2.5,Ontario-Route 60 Near Road,06-071-0027,AirNow,45,45,San Bernardino
